ID,Name_KR,Name_EN,Category,Sub_Category,Desc_KR,Desc_EN,Atlas_Name,Atk_Power,Stamina_Restore,Part_Type,Update_Cycle,Associated_Ability,Job_Unlock_ID
raw_skin_boar,멧돼지 가죽,Wild Boar Skin,Raw,Skin,,,material.png,,,,,,
raw_skin_rabbit,토끼 가죽,Rabbit Skin,Raw,Skin,,,material.png,,,,,,
raw_skin_wolf,늑대 가죽,Wolf Skin,Raw,Skin,,,material.png,,,,,,
raw_skin_bat_wing,박쥐 날개,Bat Wing,Raw,Skin,,,material.png,,,,,,
raw_part_mdeer_horn,숫사슴 뿔,Male Deer Horn,Raw,Part,,,material.png,,,,,,
raw_part_mdeer_hoof,숫사슴 발굽,Male Deer Hoof,Raw,Part,,,material.png,,,,,,
raw_part_mdeer_bone,숫사슴 뼈,Male Deer Bone,Raw,Part,,,material.png,,,,,,
raw_part_fdeer_horn,암사슴 뿔,Female Deer Horn,Raw,Part,,,material.png,,,,,,
raw_part_fdeer_hoof,암사슴 발굽,Female Deer Hoof,Raw,Part,,,material.png,,,,,,
raw_part_fdeer_bone,암사슴 뼈,Female Deer Bone,Raw,Part,,,material.png,,,,,,
raw_part_boar_fang,멧돼지 어금니,Wild Boar Tusk,Raw,Part,,,material.png,,,,,,
raw_part_boar_hoof,멧돼지 발굽,Wild Boar Hoof,Raw,Part,,,material.png,,,,,,
raw_part_boar_bone,멧돼지 뼈,Wild Boar Bone,Raw,Part,,,material.png,,,,,,
raw_part_turkey_beak,칠면조 부리,Turkey Beak,Raw,Part,,,material.png,,,,,,
raw_part_turkey_claw,칠면조 발톱,Turkey Claw,Raw,Part,,,material.png,,,,,,
raw_part_turkey_feather,칠면조 깃털,Turkey Feather,Raw,Part,,,material.png,,,,,,
raw_part_rabbit_tail,토끼 꼬리,Rabbit Tail,Raw,Part,,,material.png,,,,,,
raw_part_rabbit_paw,토끼 발,Rabbit Paw,Raw,Part,,,material.png,,,,,,
raw_part_rabbit_bone,토끼 뼈,Rabbit Bone,Raw,Part,,,material.png,,,,,,
raw_part_wolf_fang,늑대 송곳니,Wolf Fang,Raw,Part,,,material.png,,,,,,
raw_part_wolf_paw,늑대 발,Wolf Paw,Raw,Part,,,material.png,,,,,,
raw_part_wolf_bone,늑대 뼈,Wolf Bone,Raw,Part,,,material.png,,,,,,
raw_part_bat_fang,박쥐 이빨,Bat Tooth,Raw,Part,,,material.png,,,,,,
raw_part_bat_claw,박쥐 발톱,Bat Claw,Raw,Part,,,material.png,,,,,,
raw_alch_bat_guano,박쥐 구아노,Bat Guano,Raw,Alchemy,,,material.png,,,,,,
raw_alch_bat_blood,박쥐 피,Bat Blood,Raw,Alchemy,,,material.png,,,,,,
proc_leather_mdeer,숫사슴 가죽,Male Deer Leather,Processed,Leather,,,material.png,,,,,,
proc_leather_fdeer,암사슴 가죽,Female Deer Leather,Processed,Leather,,,material.png,,,,,,
proc_leather_boar,멧돼지 가죽,Wild Boar Leather,Processed,Leather,,,material.png,,,,,,
proc_leather_rabbit,토끼 가죽,Rabbit Leather,Processed,Leather,,,material.png,,,,,,
proc_leather_wolf,늑대 가죽,Wolf Leather,Processed,Leather,,,material.png,,,,,,
raw_bait_worm,지렁이 미끼,Worm Bait,Raw,Bait,,,material.png,,,,,,
raw_bait_minnow,미노우 미끼,Minnow Bait,Raw,Bait,,,material.png,,,,,,
raw_bait_cut,토막 미끼,Cut Bait,Raw,Bait,,,material.png,,,,,,
raw_bait_fly,플라이 미끼,Fly Bait,Raw,Bait,,,material.png,,,,,,
raw_bait_leech,거머리 미끼,Leech Bait,Raw,Bait,,,material.png,,,,,,
proc_hook_s_tin,단순한 낚시바늘,Single Hook,Processed,Hook,,,material.png,,,,,,
proc_hook_s_iron,철 단순한 낚시바늘,Iron Single Hook,Processed,Hook,,,material.png,,,,,,
proc_hook_s_copper,구리 단순한 낚시바늘,Copper Single Hook,Processed,Hook,,,material.png,,,,,,
proc_hook_s_silver,은 단순한 낚시바늘,Silver Single Hook,Processed,Hook,가장 기본적인 미끼,,material.png,,,,,,
proc_hook_s_gold,금 단순한 낚시바늘,Gold Single Hook,Processed,Hook,작은 물고기 모양의 가짜 미끼,,material.png,,,,,,
proc_hook_d_tin,쌍낚시바늘,Double Hook,Processed,Hook,물고기 살점 미끼,,material.png,,,,,,
proc_hook_d_iron,철 쌍낚시바늘,Iron Double Hook,Processed,Hook,날벌레 모양의 가짜 미끼,,material.png,,,,,,
proc_hook_d_copper,구리 쌍낚시바늘,Copper Double Hook,Processed,Hook,끈질긴 생명력의 미끼,,material.png,,,,,,
proc_hook_d_silver,은 쌍낚시바늘,Silver Double Hook,Processed,Hook,,,material.png,,,,,,
proc_hook_d_gold,금 쌍낚시바늘,Gold Double Hook,Processed,Hook,,,material.png,,,,,,
proc_weig_s_tin,봉돌(소),Gear Weight(S),Processed,Weight,,,material.png,,,,,,
proc_weig_s_iron,철 봉돌(소),Iron Gear Weight(S),Processed,Weight,,,material.png,,,,,,
proc_weig_s_copper,구리 봉돌(소),Copper Gear Weight(S),Processed,Weight,,,material.png,,,,,,
proc_weig_s_silver,은 봉돌(소),Silver Gear Weight(S),Processed,Weight,,,material.png,,,,,,
proc_weig_s_gold,금 봉돌(소),Gold Gear Weight(S),Processed,Weight,,,material.png,,,,,,
proc_weig_m_tin,봉돌(중),Gear Weight(M),Processed,Weight,,,material.png,,,,,,
proc_weig_m_iron,철 봉돌(중),Iron Gear Weight(M),Processed,Weight,,,material.png,,,,,,
proc_weig_m_copper,구리 봉돌(중),Copper Gear Weight(M),Processed,Weight,,,material.png,,,,,,
proc_weig_m_silver,은 봉돌(중),Silver Gear Weight(M),Processed,Weight,,,material.png,,,,,,
proc_weig_m_gold,금 봉돌(중),Gold Gear Weight(M),Processed,Weight,,,material.png,,,,,,
proc_weig_l_tin,봉돌(대),Gear Weight(L),Processed,Weight,,,material.png,,,,,,
proc_weig_l_iron,철 봉돌(대),Iron Gear Weight(L),Processed,Weight,,,material.png,,,,,,
proc_weig_l_copper,구리 봉돌(대),Copper Gear Weight(L),Processed,Weight,,,material.png,,,,,,
proc_weig_l_silver,은 봉돌(대),Silver Gear Weight(L),Processed,Weight,,,material.png,,,,,,
proc_weig_l_gold,금 봉돌(대),Gold Gear Weight(L),Processed,Weight,,,material.png,,,,,,
proc_reel_tin,릴,Reel,Processed,Reel,,,material.png,,,,,,
proc_reel_iron,철 릴,Iron Reel,Processed,Reel,,,material.png,,,,,,
proc_reel_copper,구리 릴,Copper Reel,Processed,Reel,,,material.png,,,,,,
proc_reel_silver,은 릴,Silver Reel,Processed,Reel,,,material.png,,,,,,
proc_reel_gold,금 릴,Gold Reel,Processed,Reel,,,material.png,,,,,,
proc_rod_oak,참나무 대,Oak Rod,Processed,Rod,,,material.png,,,,,,
proc_rod_hickory,히코리 대,Hickory Rod,Processed,Rod,,,material.png,,,,,,
proc_rod_pine,소나무 대,Pine Rod,Processed,Rod,,,material.png,,,,,,
proc_rod_willow,버드나무 대,Willow Rod,Processed,Rod,,,material.png,,,,,,
proc_rod_birch,자작나무 대,Birch Rod,Processed,Rod,,,material.png,,,,,,
proc_floa_oak,참나무 찌,Oak Float,Processed,Float,,,material.png,,,,,,
proc_floa_hickory,히코리 찌,Hickory Float,Processed,Float,,,material.png,,,,,,
proc_floa_pine,소나무 찌,Pine Float,Processed,Float,,,material.png,,,,,,
proc_floa_willow,버드나무 찌,Willow Float,Processed,Float,,,material.png,,,,,,
proc_floa_birch,자작나무 찌,Birch Float,Processed,Float,,,material.png,,,,,,
proc_line_linen,아마 낚싯줄,Linen Line,Processed,Line,,,material.png,,,,,,
proc_line_cotton,목화 낚싯줄,Cotton Line,Processed,Line,,,material.png,,,,,,
proc_line_hemp,삼베 낚싯줄,Hemp Line,Processed,Line,,,material.png,,,,,,
proc_line_ramie,모시 낚싯줄,Ramie Line,Processed,Line,,,material.png,,,,,,
proc_line_agave,용설란 낚싯줄,Agave Line,Processed,Line,,,material.png,,,,,,
raw_fd_salmon,연어,Salmon,Raw,Fish,,,food.png,,,,,,
raw_fd_hake,메를루사,Hake,Raw,Fish,,,food.png,,,,,,
raw_fd_sardine,정어리,Sardine,Raw,Fish,,,food.png,,,,,,
raw_fd_tuna,참치,Tuna,Raw,Fish,,,food.png,,,,,,
raw_fd_cod,대구,Cod,Raw,Fish,,,food.png,,,,,,
raw_fd_anchovy,멸치,Anchovy,Raw,Fish,,,food.png,,,,,,
raw_fd_bream,도미,Bream,Raw,Fish,,,food.png,,,,,,
raw_fd_walleye,월아이,Walleye,Raw,Fish,,,food.png,,,,,,
raw_fd_perch,농어,Perch,Raw,Fish,,,food.png,,,,,,
raw_fd_pike,파이크,Pike,Raw,Fish,,,food.png,,,,,,
raw_fd_carp,잉어,Carp,Raw,Fish,,,food.png,,,,,,
raw_fd_eel,장어,Eel,Raw,Fish,,,food.png,,,,,,
raw_fd_octopus,문어,Octopus,Raw,Fish,,,food.png,,,,,,
raw_fd_squid,오징어,Squid,Raw,Fish,,,food.png,,,,,,
raw_fd_flounder,광어,Flounder,Raw,Fish,,,food.png,,,,,,
proc_fd_salmon_clean,손질된 연어,Clean Salmon,Processed,Fish,,,food.png,,,,,,
proc_fd_hake_clean,손질된 메를루사,Clean Hake,Processed,Fish,,,food.png,,,,,,
proc_fd_sardine_clean,손질된 정어리,Clean Sardine,Processed,Fish,,,food.png,,,,,,
proc_fd_tuna_clean,손질된 참치,Clean Tuna,Processed,Fish,,,food.png,,,,,,
proc_fd_cod_clean,손질된 대구,Clean Cod,Processed,Fish,,,food.png,,,,,,
proc_fd_anchovy_meat,멸치 고기,Anchovy Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_bream_meat,도미 고기,Bream Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_walleye_meat,월아이 고기,Walleye Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_perch_meat,농어 고기,Perch Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_pike_meat,파이크 고기,Pike Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_carp_meat,잉어 고기,Carp Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_eel_meat,장어 고기,Eel Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_octopus_meat,손질된 문어,Octopus Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_squid_meat,손질된 오징어,Squid Meat,Processed,Fish,,,food.png,,,,,,
proc_fd_flounder_meat,광어 고기,Flounder Meat,Processed,Fish,,,food.png,,,,,,
raw_aqua_crab,게,Crab,Raw,Aqua,,,food.png,,,,,,
raw_aqua_prawn,새우,Prawn,Raw,Aqua,,,food.png,,,,,,
raw_aqua_clam,조개,Clam,Raw,Aqua,,,food.png,,,,,,
raw_aqua_turtle,거북이,Turtle,Raw,Aqua,,,food.png,,,,,,
raw_alch_frog,개구리,Frog,Raw,Alchemy,,,food.png,,,,,,
raw_trash_boot,낡은 장화,Boot,Raw,Trash,,,material.png,,,,,,
proc_fd_crab_meat,게살,Crab Meat,Processed,Aqua,,,food.png,,,,,,
proc_fd_prawn_meat,새우살,Prawn Meat,Processed,Aqua,,,food.png,,,,,,
proc_fd_clam_meat,조갯살,Clam Meat,Processed,Aqua,,,food.png,,,,,,
proc_fd_turtle_meat,거북이 고기,Turtle Meat,Processed,Aqua,,,food.png,,,,,,
proc_fd_frog,개구리 고기,Frog Meat,Processed,Meat,,,food.png,,,,,,
proc_fd_pumpkin_sliced,손질된 호박,Sliced Pumpkin,Processed,Crop,,,food.png,,,,,,
proc_fd_eggplant_sliced,손질된 가지,Sliced Eggplant,Processed,Crop,,,food.png,,,,,,
proc_fd_beet_sliced,손질된 비트,Sliced Beet,Processed,Crop,,,food.png,,,,,,
proc_fd_tomato_sliced,손질된 토마토,Sliced Tomato,Processed,Crop,,,food.png,,,,,,
proc_fd_lettuce_leaves,양상추 잎,Lettuce leaves,Processed,Crop,,,food.png,,,,,,
proc_fd_potato_sliced,손질된 감자,Sliced Potato,Processed,Crop,,,food.png,,,,,,
proc_fd_radish_sliced,손질된 무,Sliced Radish,Processed,Crop,,,food.png,,,,,,
proc_fd_garlic_clove,마늘 한 쪽,Garlic Clove,Processed,Crop,,,food.png,,,,,,
proc_fd_cauliflower_florets,손질된 콜리플라워,Cauliflower Florets,Processed,Crop,,,food.png,,,,,,
proc_fd_pepper_sliced,손질된 고추,Sliced Pepper,Processed,Crop,,,food.png,,,,,,
proc_fd_dough,반죽,Dough,Processed,Bakery,,,food.png,,,,,,
proc_fd_venison_steak,사슴 스테이크 고기,Venison Steak,Processed,Meat,,,food.png,,,,,,
proc_fd_boar_steak,멧돼지 스테이크 고기,Wild Boar Steak,Processed,Meat,,,food.png,,,,,,
proc_fd_turkey_breast,칠면조 가슴살,Turkey Breast,Processed,Meat,,,food.png,,,,,,
proc_fd_rabbit_chop,토끼 토막 고기,Rabbit Chop Meat,Processed,Meat,,,food.png,,,,,,
proc_fd_wolf_chop,늑대 토막 고기,Wolf Chop Meat,Processed,Meat,,,food.png,,,,,,
fd_dish_salmon_grilled,구운 연어,Grilled Salmon,Consumable,Dish,,,food.png,,,,,,
fd_dish_hake_grilled,구운 메를루사,Grilled Hake,Consumable,Dish,,,food.png,,,,,,
fd_dish_sardine_grilled,구운 정어리,Grilled Sardine,Consumable,Dish,,,food.png,,,,,,
fd_dish_tuna_grilled,구운 참치,Grilled Tuna,Consumable,Dish,,,food.png,,,,,,
fd_dish_cod_grilled,구운 대구,Grilled Cod,Consumable,Dish,,,food.png,,,,,,
fd_dish_crab_grilled,구운 게,Grilled Crab,Consumable,Dish,,,food.png,,,,,,
fd_dish_prawn_grilled,구운 새우,Grilled Prawn,Consumable,Dish,,,food.png,,,,,,
fd_dish_turtle_grilled,구운 거북이,Grilled Turtle,Consumable,Dish,,,food.png,,,,,,
fd_dish_frog_grilled,구운 개구리,Grilled Frog,Consumable,Dish,,,food.png,,,,,,
fd_dish_venison_grilled,구운 사슴 고기,Grilled Venison,Consumable,Dish,,,food.png,,,,,,
fd_dish_boar_grilled,구운 멧돼지 고기,Grilled Wild Boar,Consumable,Dish,,,food.png,,,,,,
fd_dish_turkey_drum_grilled,구운 칠면조 다리,Grilled Turkey Drum,Consumable,Dish,,,food.png,,,,,,
fd_dish_rabbit_grilled,구운 토끼 고기,Grilled Rabbit,Consumable,Dish,,,food.png,,,,,,
fd_dish_wolf_grilled,구운 늑대 고기,Grilled Wolf,Consumable,Dish,,,food.png,,,,,,
fd_dish_salmon_braised,연어 조림,Braised Salmon,Consumable,Dish,,,food.png,,,,,,
fd_dish_hake_braised,메를루사 조림,Braised Hake,Consumable,Dish,,,food.png,,,,,,
fd_dish_sardine_braised,정어리 조림,Braised Sardine,Consumable,Dish,,,food.png,,,,,,
fd_dish_tuna_braised,참치 조림,Braised Tuna,Consumable,Dish,,,food.png,,,,,,
fd_dish_cod_braised,대구 조림,Braised Cod,Consumable,Dish,,,food.png,,,,,,
fd_dish_crab_braised,게 조림,Braised Crab,Consumable,Dish,,,food.png,,,,,,
fd_dish_prawn_braised,새우 조림,Braised Prawn,Consumable,Dish,,,food.png,,,,,,
fd_dish_turtle_braised,거북이 조림,Braised Turtle,Consumable,Dish,,,food.png,,,,,,
fd_dish_frog_braised,개구리 조림,Braised Frog,Consumable,Dish,,,food.png,,,,,,
fd_dish_venison_braised,사슴 고기 조림,Braised Venison,Consumable,Dish,,,food.png,,,,,,
fd_dish_boar_braised,멧돼지 고기 조림,Braised Wild Boar,Consumable,Dish,,,food.png,,,,,,
fd_dish_turkey_braised,칠면조 조림,Braised Turkey,Consumable,Dish,,,food.png,,,,,,
fd_dish_rabbit_braised,토끼 조림,Braised Rabbit,Consumable,Dish,,,food.png,,,,,,
fd_dish_wolf_braised,늑대 조림,Braised Wolf,Consumable,Dish,,,food.png,,,,,,
fd_dish_salmon_sushi,연어 초밥,Salmon Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_hake_sushi,메를루사 초밥,Hake Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_sardine_sushi,정어리 초밥,Sardine Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_tuna_sushi,참치 초밥,Tuna Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_cod_sushi,대구 초밥,Cod Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_sandwich,샌드위치,Sandwich,Consumable,Dish,,,food.png,,,,,,
fd_dish_english_breakfast,영국식 아침 식사,English Breakfast,Consumable,Dish,,,food.png,,,,,,
fd_dish_pizza,피자,Pizza,Consumable,Dish,,,food.png,,,,,,
fd_dish_oven_turkey,오븐 칠면조,Oven Turkey,Consumable,Dish,,,food.png,,,,,,
fd_dish_corncob,옥수수,Corncob,Consumable,Dish,,,food.png,,,,,,
fd_dish_fried_egg,계란 프라이,Fried egg,Consumable,Dish,,,food.png,,,,,,
fd_dish_omelette,오믈렛,Omelette,Consumable,Dish,,,food.png,,,,,,
fd_dish_salad,샐러드,Salad,Consumable,Dish,,,food.png,,,,,,
fd_dish_rice,밥,Rice,Consumable,Dish,,,food.png,,,,,,
fd_dish_riceball,주먹밥,Riceball,Consumable,Dish,,,food.png,,,,,,
fd_dish_anchovy_grilled,구운 멸치,Grilled Anchovy,Consumable,Dish,,,food.png,,,,,,
fd_dish_bream_grilled,구운 도미,Grilled Bream,Consumable,Dish,,,food.png,,,,,,
fd_dish_walleye_grilled,구운 월아이,Grilled Walleye,Consumable,Dish,,,food.png,,,,,,
fd_dish_perch_grilled,구운 농어,Grilled Perch,Consumable,Dish,,,food.png,,,,,,
fd_dish_pike_grilled,구운 파이크,Grilled Pike,Consumable,Dish,,,food.png,,,,,,
fd_dish_carp_grilled,구운 잉어,Grilled Carp,Consumable,Dish,,,food.png,,,,,,
fd_dish_eel_grilled,구운 장어,Grilled Eel,Consumable,Dish,,,food.png,,,,,,
fd_dish_octopus_grilled,구운 문어,Grilled Octopus,Consumable,Dish,,,food.png,,,,,,
fd_dish_squid_grilled,구운 오징어,Grilled Squid,Consumable,Dish,,,food.png,,,,,,
fd_dish_flounder_grilled,구운 광어,Grilled Flounder,Consumable,Dish,,,food.png,,,,,,
fd_dish_anchovy_braised,멸치 조림,Braised Anchovy,Consumable,Dish,,,food.png,,,,,,
fd_dish_bream_braised,도미 조림,Braised Bream,Consumable,Dish,,,food.png,,,,,,
fd_dish_walleye_braised,월아이 조림,Braised Walleye,Consumable,Dish,,,food.png,,,,,,
fd_dish_perch_braised,농어 조림,Braised Perch,Consumable,Dish,,,food.png,,,,,,
fd_dish_pike_braised,파이크 조림,Braised Pike,Consumable,Dish,,,food.png,,,,,,
fd_dish_carp_braised,잉어 조림,Braised Carp,Consumable,Dish,,,food.png,,,,,,
fd_dish_eel_braised,장어 조림,Braised Eel,Consumable,Dish,,,food.png,,,,,,
fd_dish_octopus_braised,문어 조림,Braised Octopus,Consumable,Dish,,,food.png,,,,,,
fd_dish_squid_braised,오징어 조림,Braised Squid,Consumable,Dish,,,food.png,,,,,,
fd_dish_flounder_braised,광어 조림,Braised Flounder,Consumable,Dish,,,food.png,,,,,,
fd_dish_anchovy_sushi,멸치 초밥,Anchovy Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_bream_sushi,도미 초밥,Bream Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_walleye_sushi,월아이 초밥,Walleye Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_perch_sushi,농어 초밥,Perch Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_pike_sushi,파이크 초밥,Pike Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_carp_sushi,잉어 초밥,Carp Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_eel_sushi,장어 초밥,Eel Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_octopus_sushi,문어 초밥,Octopus Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_squid_sushi,오징어 초밥,Squid Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_flounder_sushi,광어 초밥,Flounder Sushi,Consumable,Dish,,,food.png,,,,,,
fd_dish_hotdog,핫도그,Hotdog,Consumable,Dish,,,food.png,,,,,,
fd_dish_taco,타코,Taco,Consumable,Dish,,,food.png,,,,,,
fd_dish_burger,버거,Burger,Consumable,Dish,,,food.png,,,,,,
fd_dish_satay,사테이,Satay,Consumable,Dish,,,food.png,,,,,,
fd_dish_bruschetta,브루스케타,Bruschetta,Consumable,Dish,,,food.png,,,,,,
fd_dish_grilled_cheese,구운 치즈,Grilled Cheese,Consumable,Dish,,,food.png,,,,,,
fd_dish_fondue,퐁듀,Fondue,Consumable,Dish,,,food.png,,,,,,
fd_dish_fish_n_chips,피쉬 앤 칩스,Fish'n'chips,Consumable,Dish,,,food.png,,,,,,
fd_dish_spring_roll,춘권,Spring Roll,Consumable,Dish,,,food.png,,,,,,
fd_dish_fajitas,파히타,Fajitas,Consumable,Dish,,,food.png,,,,,,
fd_dish_bibimbap,비빔밥,Bibimbap,Consumable,Dish,,,food.png,,,,,,
fd_dish_quesadilla,퀘사디아,Quesadilla,Consumable,Dish,,,food.png,,,,,,
fd_dish_spaghetti_bolognesa,스파게티 볼로네제,Spaghetti Bolognesa,Consumable,Dish,,,food.png,,,,,,
fd_dish_guacamole,과카몰리,Guacamole,Consumable,Dish,,,food.png,,,,,,
fd_dish_tonkatsu,돈가스,Tonkatsu,Consumable,Dish,,,food.png,,,,,,
fd_dish_hummus,후무스,Hummus,Consumable,Dish,,,food.png,,,,,,
fd_dish_dumplings,만두,Dumplings,Consumable,Dish,,,food.png,,,,,,
fd_bakery_bread,빵,Bread,Consumable,Bakery,,,food.png,,,,,,
fd_bakery_cookie,쿠키,Cookie,Consumable,Bakery,,,food.png,,,,,,
fd_bakery_pancake,팬케이크,Pancake,Consumable,Bakery,,,food.png,,,,,,
fd_bakery_cake,케이크,Cake,Consumable,Bakery,,,food.png,,,,,,
fd_bakery_cupcake,컵케이크,Cupcake,Consumable,Bakery,,,food.png,,,,,,
fd_bakery_naan,난,Naan,Consumable,Bakery,,,food.png,,,,,,
